인덱스,코드,구분,FAQ 답변 ,FAQ  질문 ,tag,link_url_adr
463,,125,"(1) 로그인 비밀번호로 발급가능한 경우
   - 대외기관(법원 등) 공문접수, 사망계좌의 증명서 발급
   - 의원폐쇄계좌 (로그인비밀번호 처리 권한 승인 후 발급) 
  (2) 증명일자를 매월 말일자 잔고로만 발급 가능한 경우
   - 증명서 발급일이 속한 년도를 기준으로 ‘증명일자’가 5년 이전인 경우, 매월 말일자 기준으로만 증명서 발급 가능
  (예) 발급신청일이 2017년 6월 인 경우 → 2011년도 까지는 매월 말일자로만 증명서  발급 가능.
   - 통합계좌의 통합일 익월부터 증명서 발급시
  (3) 증명일자가 휴일자인 경우
   - 주식, 수익증권 : 휴일자의 전영업일 종가 또는 기준가로 평가
   - 채권, 신탁, RP, ELS/DLS : 해당일의 종가
  (4) 통합폐쇄 계좌 : 잔고가 당사예수금으로 이관되어 증명서에 예수금잔고 제공 안됨
  (5) 랩 운용계좌로 발급시 : 랩 계좌에 보유중인 유가잔고 상세내역 발급 가능
  (6) 채권 평가가격(민간평가사 4사) 수신 완료 시점 : 18시 이후
   - 채권 평가가격 수신 완료 이전에 증명서 발급시 : 전일의 민평사 평균단가로 평가됨
   - 과거일자 증명서 발급시 : 증명일자 당일의 민평사 평균단가로 평가됨",제증명서 발급기준 및 관련 참고사항은 어떻게 되나요? ,,
464,,125,"(1) 상장주식, ELW : 전일종가 또는 금일종가 (결재기준 평가)
  - 단, 증명일자가 발급신청 당일 인 경우, '금일종가'는 장종료후에만 발급 가능
 (2) 해외주식 : 전일종가
  - 단, 증명일자가 발급신청 당일인 경우 전일종가, 과거일인 경우에는 해당일 종가
 (3) 상장채권 : 민평사 4사 시가평가 or 매입가평가 중 택일 (단, 선물대용 지정분은 시가평가)
 (4) 비상장채권 : 매입가평가
 (5) 해외채권 : 시가평가
 - 단, 증명일자가 발급신청 당일인 경우 전일평가, 과거일인 경우에는 해당일 평가
 (6) 장외파생 : 시가평가 or 매입가평가 중 택일
 (7) CD, CP, 증금예금 : 매수가액
 (8) RP : 세전평가 or 세후평가 중 택일 (만기약정이율로 평가한 기준일의 평가금액)
 (9) 신주인수권(Warrant), K-OTC, 비상장주식 : 평가안됨
   (10) 수익증권 : 세전평가 or 세후평가 중 택일 (증명일자가 과거일자인 경우, 세후평가 선택 불가)
   (11) 선물 : 평가안됨 (기준일 전일의 정산가격으로 일일정산하여 예수금 잔고에 반영됨)
   (12) 옵션 : 전일종가 또는 금일종가
   (13) 신탁 : 시가평가 or 장부가평가 중 택일 (체결기준 평가)
   - 증명일자가 발급신청 당일인 경우, 신탁계약원금으로 평가. 장부가평가는 2013.9.23일 이후 일자부터 가능
   (14) WRAP : 증명일자의 결제기준 잔고 평가금액
   (15) ELS :  시가평가 or 매입가평가  중 택일",제증명서 발급시 유가증권 평가 기준은 어떻게 되나요?,,
465,,125,"소속점과 처리점 모두 사고 등록 및 해지 화면에서 1.고객요청-본인사망으로 체크하여 등록 처리 후 조작자 비밀번호를 입력 하여 처리하면 됩니다.
 단, 거래증명서의 경우, 1999년 5월 24일 이전 내역은 거래현황 화면에서 조작자 비밀번호로 조회 하여 출력하기 때문에 관리점 외 처리 불가능 하므로  고객에게 접수받은 서류를 소속점에 전달하여 거래증명서 발급을 요청해야 합니다.",사망계좌 제증명서 발급요청 시 사고 미등록 된 계좌 소속점과 처리점은 각각 어떻게 처리 하나요?,,
466,,126,금융감독원(www.fss.or.kr) 홈페이지 ‘제도권금융기관조회’에서 금융기관 여부를 확인 할 수 있습니다. 해당법인이 제도권 금융기관으로 정상 조회 되는 경우만 금융법인으로 개설 할 수 있습니다.,투자자문사는 금융법인으로 계좌개설 하면 되나요?,,
467,,126,필수입력사항은 아닙니다. 하지만 핸드폰번호가 등록되어야 처리 가능한 신용거래약정  등록등 일부업무 처리가 불가 할 수 있습니다,계좌개설시 핸드폰번호는 필수 입력 사항인가요?,,
468,,126,인감/서명은 종합계좌 단위로 등록 합니다. 이미 해당종합계좌에 인감/서명이 등록되어 있으므로 별도 등록 하지 않아도 됩니다.,기존 종합계좌에 상품계좌를 추가 개설 할 경우 인감/서명을 추가 등록 해야 하나요?,,
469,,126,여권은 실명확인 증표로 사용 가능합니다. 다만 내국인의 경우 여권번호를 실명확인번호로 사용 하여 계좌개설하는 것은 불가 합니다.,내국인도 여권으로 업무처리 가능 한가요?,,
470,,126,아닙니다. 상속처리만 하면 됩니다. 사망으로 인한 사고등록은 상속자가 금융감독원의 ‘상속인조회서비스’를 통해 각금융기관의 사망자명의 금융거래여부를 확인 하는 경우 정당한 상속처리 후 금융거래가 이루어 질 수 있도록 하기 위해 처리 하는 것입니다.,상속처리를 하려는데 사망으로 인한 사고등록이 되어 있지 않습니다. 사고등록 후 상속처리 해야 하나요?,,
471,,126,동일인 여부를 확인 할 수 있는 추가 증빙 서류가 필요 합니다. 과거 외국인등록번호을 확인 할 수 있는 주민등록초본을 추가로 징구 해야 합니다.,외국인등록번호로 계좌개설한 고객이 주민등록증를 가지고 내점 하셨습니다. 명의변경을 하기 위해 어떤 서류가 필요 한가요?,,
472,,126,변경 후 실명번호로 당사에 고객등록이 되어 있어야 명의변경 처리가 가능하기 때문입니다. 고객등록은 명의변경 화면 하단에 고객등록 버튼을 클리하여 처리 하면 됩니다.,명의변경 처리 전 고객등록은 왜 하나요?,,
473,,126,IC카드 형태이며 vender code가 3번대로 시작 합니다. 미레테크놀로지의 경우 일반OTP의 vender code는 001이고 스마트OTP의 vender code는 301입니다.,스마트 OTP인지 어떻게 알 수 있나요?,,
474,,126,당사에서 발급한 OTP를 타기관에서 사용하고 있는 고객의 경우 ‘타기관자동등록’을 선택하고 갱신 발급해야 온라인에서 타기관등록 처리가 가능합니다. 타기관자동등록을 선택하지 않고 갱신 발급 하면 온라인에서 타기관등록 처리가 불가하여 고객이 해당 금융기관의 영업점을 내점 해야 합니다.,OTP 갱신 발급시 ‘타기관자동등록’을 꼭 선택해야 하나요?,,
475,,126,"기존 100% 증거금인 고객인 경우 개인신용정보필수동의가 미동의 상태이면 증거금징수율이 비활성화 되어 있습니다.
   화면의 개인신용정보필수동의 항목의 동의를 선택 후 변경처리 하면 됩니다.",정보변경 화면에서 증거금 징수율을 변경하려는데 비활성화 되어 처리 불가 합니다. 어떻게 하나요?,,
476,,126,"“대습상속인”이란 ‘상속인이 될 직계비속 또는 형제자매(피대습인)’가 상속개시 전에 사망하거나 결격자가 된 경우에 사망하거나  결격된 사람의 순위에 갈음하여 상속인이 되는 ‘피대습인의 직계비속  또는 배우자’를 말합니다
  - 대습상속인이 되려면 대습원인이 있어야 합니다. 즉, (“사망하지 않았거나 상속결격이 없었더라면) 상속인이 될 직계비속 또는  형제자매”가 “상속개시 전”에 사망하거나 결격자”가 되어야 합니다
  - 대습자로서의 요건을 갖추어야 합니다. (“사망하지 않았거나 상속결격이 없었더라면) 상속인이 될 사람”의 “직계비속 또는 배우자”이어야 합니다.
  근거 : 「민법」 제1001조 및 제1003조제2항",대습상속인이란 누구를 말하나요 ?,,
477,,126,"Q. A의 부모님은 A가 어릴 때 이혼하였으며 A의 아버지는  1년  전  사망 하였 습니다. A의  할아버지는 A의 아버지 X 이외에도 자녀(A의 고모 Y)를 한 명 더 두고 있고, 할머니(Z)도 생존해 계십니다. 이 경우 A는 할아버지의 재산을 상속받을 수 있나요?
  A. 상속인이 될 직계비속이 상속개시 전에 사망한 경우에는 그의 직계비속이 대습상속인이 됩니다(「민법」 제1001조). 이때 아버지는 상속인이 될 직계비속이고, 할아버지의  사망 전에 사망하였으므로 그의 직계비속인 A가 대습상속인이 되어 상속을 받을 수 있습니다.",<대습상속 사례> 아버지를 여읜 아들은 할아버지의 재산을 상속받을 수 있나요?,,
478,,126,"아버지와  할아버지가  비행기  사고로  동시에  사망 하였습니다. 이때  아들은  상속인이   될  수 있을까요?
 - 원칙적으로 살아있었으면 상속인이 되었을 피대습자는 상속개시 이전에 사망했어야 하지만, 판례는 피상속인과 피대습자가 동시에  사망하였을 경우에도 대습상속을 인정합니다. 따라서 이 경우에도 아들은 대습상속인이 될 수 있습니다
   근거 : 대법원 2001. 3. 9. 선고 99다13157 판결 참조",<대습상속 사례> 상속인이 될 직계비속이 피상속인과 동시에 사망한 경우에도 대습상속이 이루어지나요 ?,,
479,,126,"상속결격자란 상속인이 될 수 없는 사람, 즉, 법이 정한 상속 순위에 해당하지만, 일정한 이유로 상속을 받지 못하는 사람을 말합니다. 

- 고의로 직계존속, 피상속인, 그 배우자 또는 상속의 선순위나 동순위에 있는 사람을 살해하거나 살해하려고 한 사람
- 고의로 직계존속, 피상속인과 그 배우자에게 상해를 가하여 사망에 이르게한 사람
- 사기 또는 강박으로 피상속인의 상속에 관한 유언 또는 유언의 철회를 방해한 사람
- 사기 또는 강박으로 피상속인의 상속에 관한 유언을 하게 한 사람
- 피상속인의 상속에 관한 유언서를 위조·변조·파기 또는 은닉한 사람",상속 결격자란 무슨 뜻인가요 ?,,
480,,126,"이글프로 11275 고객정보오류등록 변경 화면에서 해당 핸드폰 번호 삭제가 가능 합니다.
   - 업무팀장만 처리 가능하고 지점장 실시간 승인이 필요합니다.
   - 해당화면은 제3자에 의해 당사고객 정보를 수정하게 되므로 업무처리 시 계좌번호와 핸드폰 번호 확인을 철저히 하여  주시기 바랍니다. 
  - 업무 처리 시 유의사항
 1. 기 공지 되었던 내용과 같이 당사 고객에게 연락을 시도 하였으나 연락 불가한 경우만 처리
 2. 해당 핸드폰 번호로 연락하여 제3자 수신 확인 및 녹취등 기존 프로세스 준수(아래 공지내용 링크 확인)   
 3. 해당화면은 계좌주에 의한 처리가 아니므로 비밀번호 입력 없이 처리되니 다른 고객의 정보가 삭제 되지  않도록 처리 시 꼭 계좌번호를 다시 한번 확인 할것 , 오류 처리 시 원복 불가  
 기존 공지 내용 :http://hanwha.eagleoffice.co.kr/neo/bbs/6896/001742508",핸드폰 번호 오류 고객의 정보변경은 어떻게 하나요?,,
481,,126,"주민등록등본 : 세대주를 기준으로 하여 세대구성원의 전반적인 내용을 확인 가능
 - 주민등록초본 : 세대주와 주민등록상의 세대원 개개인의 인적사항을 확인 가능   
주민등록등본
1. 과거 주소변동(이력)사항
2. 세대원의 세대주와의 관계
3. 세대구성사유
4. 동거인
5. 세대원의 전입일/변동일사유
6. 교부대상자외 다른 세대원의 주민등록번호 뒷자리
7. 교부대상자외 다른 세대원의 이름 
주민등록 초본
1. 개인인적사항   변경내용
2. 과거의   주소변동사항 중 세대주 성명/관계
3. 외국인등록번호
4. 과거의   주소변동 사항
5. 병역사항
6. 재외국민   국내거소신고번호
   -  주민등록 등본을 사용하지 않도록 개정된 사유가 교부대상자외 다른 구성원의 개인정보가 기재되어
  있어 불필요한 개인정보 유출이 문제가 되기 때문입니다.
   - 주민등록 초본에서 확인 가능한 세대주와 관계외 다른 사람과의 가족관계 확인은 가족관계증명서을
  징구하여 확인 해야 합니다.",주민등록 등본과 초본의 차이는 뭔가요?,,
